word,word_type
católico,religious
religión,religious
dios,religious
jesucristo,religious
obispo,religious
monja,religious
biblia,religious
vaticano,religious
misa,religious
amén,religious
bautizar,religious
iglesia,religious
jesús,religious
evangelizar,religious
jesuita,religious
pecar,religious
catecismo,religious
mesías,religious
santo,religious
apóstol,religious
avemaría,religious
evangelio,religious
parroquia,religious
catequesis,religious
mandamientos,religious
crucificar,religious
cristiano,religious
ángeles,religious
rosario,religious
plegaria,religious
pesebre,religious
fe,religious
bendecir,religious
adán,religious
cuaresma,religious
judas,religious
aleluya,religious
pastoral,religious
milagro,religious
salmo,religious
comunión,religious
arcángel,religious
catedral,religious
noé,religious
eucaristía,religious
cardenal,religious
convento,religious
edén,religious
cura,religious
jerusalén,religious
papa,religious
eclesiástico,religious
sagrado,religious
teología,religious
resucitar,religious
eva,religious
creyente,religious
infierno,religious
hostia,religious
peregrinar,religious
magia,magic
hada,magic
fantasma,magic
ouija,magic
bruja,magic
unicornio,magic
elfo,magic
mago,magic
duende,magic
conjuro,magic
médium,magic
sirena,magic
chupacabras,magic
brujería,magic
clarividente,magic
espíritus,magic
tarot,magic
tarotista,magic
vudú,magic
vampiro,magic
telequinesis,magic
dragón,magic
ovni,magic
abracadabra,magic
varita,magic
místico,magic
ogro,magic
vidente,magic
alien,magic
pegaso,magic
zombi,magic
telépata,magic
levitar,magic
espiritista,magic
astral,magic
teletransportar,magic
poseído,magic
abducido,magic
monstruo,magic
amuleto,magic
aura,magic
chakra,magic
visiones,magic
psíquica,magic
merlín,magic
mitología,magic
maldición,magic
extracorporal,magic
atrapasueños,magic
chamán,magic
ocultismo,magic
karma,magic
oráculo,magic
ufología,magic
aparición,magic
talismán,magic
adivina,magic
extrasensorial,magic
área-51,magic
rito,magic
ácido,secular
ángulo,secular
átomo,secular
absorber,secular
anatomía,secular
anfibios,secular
anticuerpo,secular
antídoto,secular
aritmética,secular
astros,secular
atlas,secular
aurora,secular
bacteria,secular
biología,secular
botánico,secular
brisa,secular
brotar,secular
catástrofe,secular
ceguera,secular
circuito,secular
cirugía,secular
contagio,secular
crepúsculo,secular
cálculo,secular
digestión,secular
dilatación,secular
disolución,secular
ecología,secular
electrodos,secular
elástico,secular
enjambre,secular
epidemia,secular
extracción,secular
fiebre,secular
firmamento,secular
fisiología,secular
formula,secular
fármaco,secular
galaxia,secular
geometría,secular
infarto,secular
infección,secular
invención,secular
investigar,secular
matemático,secular
modernismo,secular
médica,secular
nutrición,secular
óptico,secular
oxidación,secular
parásitos,secular
planetario,secular
química,secular
realista,secular
satélite,secular
sedante,secular
síntoma,secular
topografía,secular
tumor,secular
viruela,secular
